Total,82,,,,,Corbett,Height(m),(ft),Rank,Region Name,Num,Year First,Date,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,222,,,,,Creagan na Beinne,889.1,2917,35,01A: Loch Tay to Perth,0,,,,,,,,,,,,,
,,,,,,Creag Uchdag,879,2884,50,01A: Loch Tay to Perth,0,,,,,,,,,,,,,
True total,104,,,,,Auchnafree Hill,787.4,2583,178,01A: Loch Tay to Perth,0,,,,,,,,,,,,,
,,,,,,Beinn Each,813,2667,135,01B: Strathyre to Strathallan,0,,,,,,,,,,,,,
,,,,,,Meall na Fearna,810,2657,139,01B: Strathyre to Strathallan,0,,,,,,,,,,,,,
,climbed,new,cumulative,,,Ben Ledi,879,2884,51,01C: Loch Lomond to Strathyre,2,2018,01/03/2018,02/03/2025,,,,,,,,,,
1997,0,0,0,0,,Stob a' Choin,869,2851,63,01C: Loch Lomond to Strathyre,1,2025,28/02/2025,,,,,,,,,,,
1998,0,0,0,0,,Meall an t-Seallaidh,852.7,2798,90,01C: Loch Lomond to Strathyre,1,2023,27/05/2023,,,,,,,,,,,
1999,0,0,0,0,,Benvane,821,2694,121,01C: Loch Lomond to Strathyre,0,,,,,,,,,,,,,
2000,0,0,0,0,,Creag Mac Ranaich,808.6,2653,144,01C: Loch Lomond to Strathyre,1,2023,26/05/2023,,,,,,,,,,,
2001,0,0,0,0,,Beinn Stacach [Ceann na Baintighearna] [Stob Fear-tomhais] [Beinn Stacath],771.8,2532,205,01C: Loch Lomond to Strathyre,0,,,,,,,,,,,,,
2002,0,0,0,0,,Beinn a' Choin,768.7,2522,210,01C: Loch Lomond to Strathyre,0,,,,,,,,,,,,,
2003,0,0,0,0,,The Cobbler [Ben Arthur],884,2900,43,01D: Inveraray to Crianlarich,4,2021,14/08/2021,27/04/2024,03/10/2024,09/03/2025,,,,,,,,
2004,0,0,0,0,,Beinn Chuirn,880,2887,48,01D: Inveraray to Crianlarich,1,2023,05/11/2023,,,,,,,,,,,
2005,0,0,0,0,,Beinn Luibhean,859.7,2821,77,01D: Inveraray to Crianlarich,2,2024,27/04/2024,03/10/2024,,,,,,,,,,
2006,0,0,0,0,,Stob Coire Creagach [Binnein an Fhidhleir],817.8,2683,128,01D: Inveraray to Crianlarich,0,,,,,,,,,,,,,
2007,0,0,0,0,,Meall an Fhudair,764,2507,218,01D: Inveraray to Crianlarich,0,,,,,,,,,,,,,
2008,0,0,0,0,,Meall Buidhe,908.4,2980,11,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2009,0,0,0,0,,Cam Chreag,862,2828,75,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2010,0,0,0,0,,Sron a' Choire Chnapanaich [Sron a' Choire Chnapanich],835,2740,111,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2011,0,0,0,0,,Beinn Dearg,830,2723,115,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2012,0,0,0,0,,Meall Tairneachan,787,2582,179,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2013,0,0,0,0,,Farragon Hill,782.4,2567,186,02A: Loch Rannoch to Glen Lyon,0,,,,,,,,,,,,,
2014,0,0,0,0,,Beinn nan Oighreag,909.6,2984,9,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2015,0,0,0,0,,Beinn Odhar,900.8,2955,22,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2016,0,0,0,0,,Beinn a' Chaisteil,886,2907,40,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2017,0,0,0,0,,Cam Chreag,883.6,2899,44,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2018,4,4,4,4,,Beinn nan Imirean,849,2785,91,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2019,5,5,9,9,,Beinn Chaorach,818,2684,125,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2020,1,1,10,10,,Beinn nam Fuaran,806,2644,149,02B: Glen Lyon to Glen Dochart & Loch Tay,1,2025,01/03/2025,,,,,,,,,,,
2021,6,5,15,16,,Meall nan Subh,806,2644,150,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2022,11,8,23,27,,Meall nam Maigheach,778.9,2555,192,02B: Glen Lyon to Glen Dochart & Loch Tay,0,,,,,,,,,,,,,
2023,13,11,34,40,,Garbh Bheinn,867,2844,67,03A: Loch Leven to Rannoch Station,0,,,,,,,,,,,,,
2024,29,23,57,69,,Beinn a' Chrulaiste,857,2812,82,03A: Loch Leven to Rannoch Station,0,,,,,,,,,,,,,
2025,33,23,80,102,,Beinn Maol Chaluim,906.3,2973,14,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
2026,2,2,82,104,,Fraochaidh,879,2884,52,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Beinn Trilleachan,840,2756,106,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Creach Bheinn,810,2657,140,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Meall Lighiche,772,2533,204,03B: Loch Linnhe to Loch Etive,0,,,,,,,,,,,,,
,,,,,,Beinn a' Bhuiridh,898.4,2948,25,03C: Glen Etive to Glen Lochy,1,2024,13/10/2024,,,,,,,,,,,
,,,,,,Stob Dubh,883,2897,46,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Mhic Chasgaig,864,2835,69,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Udlaidh,840.4,2757,104,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Bhreac-liath,802,2631,156,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Beinn Mhic Mhonaidh,796,2612,165,03C: Glen Etive to Glen Lochy,0,,,,,,,,,,,,,
,,,,,,Leum Uilleim,906.5,2974,13,04A: Fort William to Loch Treig & Loch Leven,0,,,,,,,,,,,,,
,,,,,,Cruach Innse,857,2812,83,04A: Fort William to Loch Treig & Loch Leven,1,2026,09/03/2026,,,,,,,,,,,
,,,,,,Sgurr Innse,809,2654,142,04A: Fort William to Loch Treig & Loch Leven,1,2026,09/03/2026,,,,,,,,,,,
,,,,,,Mam na Gualainn,796,2612,166,04A: Fort William to Loch Treig & Loch Leven,0,,,,,,,,,,,,,
,,,,,,Glas Bheinn,792,2598,170,04A: Fort William to Loch Treig & Loch Leven,0,,,,,,,,,,,,,
,,,,,,The Fara,911.4,2990,7,04B: Loch Treig to Loch Ericht,1,2024,13/01/2024,,,,,,,,,,,
,,,,,,Beinn Pharlagain - Meall na Meoig [Meall na Meoig],867.3,2845,66,04B: Loch Treig to Loch Ericht,0,,,,,,,,,,,,,
,,,,,,Beinn a' Chuallaich,892.2,2927,32,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Stob an Aonaich Mhoir,855,2805,86,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Beinn Mholach,841.8,2762,101,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,The Sow of Atholl [Meall an Dobharchain],798.9,2621,160,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Meall na Leitreach,777.1,2550,194,05A: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,An Dun,827.4,2715,118,05B: Loch Ericht to Glen Tromie & Glen Garry,0,,,,,,,,,,,,,
,,,,,,Beinn Bhreac,912.44,2994,5,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Leathad an Taobhain,911.7,2991,6,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Beinn Mheadhonach,900.9,2956,21,06A: Glen Tromie to Glen Tilt,2,2020,18/10/2020,15/01/2023,,,,,,,,,,
,,,,,,A' Chaoirnich [Maol Creag an Loch],875,2871,56,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Carn Dearg Mor,857,2812,84,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Meallach Mhor,769,2523,209,06A: Glen Tromie to Glen Tilt,0,,,,,,,,,,,,,
,,,,,,Ben Vuirich,903,2963,17,06B: Pitlochry to Braemar & Blairgowrie,1,2024,11/08/2024,,,,,,,,,,,
,,,,,,Morrone,859.5,2820,78,06B: Pitlochry to Braemar & Blairgowrie,1,2018,17/11/2018,,,,,,,,,,,
,,,,,,Ben Vrackie,842.2,2763,100,06B: Pitlochry to Braemar & Blairgowrie,3,2019,24/02/2019,27/02/2022,29/10/2022,,,,,,,,,
,,,,,,Ben Gulabin,806,2644,151,06B: Pitlochry to Braemar & Blairgowrie,1,2025,04/02/2025,,,,,,,,,,,
,,,,,,Conachcraig,865,2838,68,07A: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Creag nan Gabhar,834,2736,114,07A: Braemar to Montrose,1,2024,17/08/2024,,,,,,,,,,,
,,,,,,Monamenach,807,2648,148,07A: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Ben Tirran,897,2943,27,07B: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Mount Battock,778,2552,193,07B: Braemar to Montrose,0,,,,,,,,,,,,,
,,,,,,Sgor Mor,813,2667,136,08A: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Meall a' Bhuachaille,810,2657,141,08A: Cairngorms,5,2018,27/05/2018,12/06/2022,04/02/2023,29/05/2024,25/12/2025,,,,,,,
,,,,,,Culardoch,900,2953,23,08B: Cairngorms,1,2024,18/08/2024,,,,,,,,,,,
,,,,,,Creag Mhor,895,2936,31,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Creag an Dail Bheag,863,2831,70,08B: Cairngorms,1,2024,18/08/2024,,,,,,,,,,,
,,,,,,Brown Cow Hill,829,2720,116,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Geal Charn,821,2694,122,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Carn na Drochaide,818,2684,126,08B: Cairngorms,1,2024,18/08/2024,,,,,,,,,,,
,,,,,,Carn Ealasaid,792,2598,171,08B: Cairngorms,0,,,,,,,,,,,,,
,,,,,,Gairbeinn,895.5,2938,30,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn an Fhreiceadain,878,2881,55,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Meall na h-Aisre,862.1,2828,74,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Geal-charn Mor,824,2703,120,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn a' Chuilinn,817,2680,129,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn Dearg,816.5,2679,130,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn na Saobhaidhe,811.1,2661,138,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn Dearg,768,2520,211,09B: Glen Albyn and the Monadh Liath,0,,,,,,,,,,,,,
,,,,,,Carn Dearg,834.4,2738,113,09C: Loch Lochy to Loch Laggan,0,,,,,,,,,,,,,
,,,,,,Beinn Iaruinn,805,2641,152,09C: Loch Lochy to Loch Laggan,1,2024,26/10/2024,,,,,,,,,,,
,,,,,,Buidhe Bheinn,885.5,2905,41,10A: Glen Shiel to Loch Hourn and Loch Quoich,0,,,,,,,,,,,,,
,,,,,,Beinn na h-Eaglaise,805,2641,153,10A: Glen Shiel to Loch Hourn and Loch Quoich,0,,,,,,,,,,,,,
,,,,,,Druim nan Cnamh [Beinn Loinne],789,2589,175,10A: Glen Shiel to Loch Hourn and Loch Quoich,0,,,,,,,,,,,,,
,,,,,,Sgurr Mhic Bharraich,779,2556,190,10A: Glen Shiel to Loch Hourn and Loch Quoich,1,2025,18/04/2025,,,,,,,,,,,
,,,,,,Beinn nan Caorach,774,2539,201,10A: Glen Shiel to Loch Hourn and Loch Quoich,0,,,,,,,,,,,,,
,,,,,,Sgurr a' Choire-bheithe,913.32,2996,4,10B: Knoydart to Glen Kingie,0,,,,,,,,,,,,,
,,,,,,Sgurr an Fhuarain,901,2956,20,10B: Knoydart to Glen Kingie,1,2023,13/05/2023,,,,,,,,,,,
,,,,,,Sgurr nan Eugallt,897.5,2945,26,10B: Knoydart to Glen Kingie,1,2024,01/04/2024,,,,,,,,,,,
,,,,,,Ben Aden [Beinn an Aodainn],887,2910,38,10B: Knoydart to Glen Kingie,1,2023,12/05/2023,,,,,,,,,,,
,,,,,,Sgurr Mhurlagain,880,2887,49,10B: Knoydart to Glen Kingie,0,,,,,,,,,,,,,
,,,,,,Fraoch Bheinn,857.3,2813,81,10B: Knoydart to Glen Kingie,0,,,,,,,,,,,,,
,,,,,,Beinn Bhuidhe,855,2805,87,10B: Knoydart to Glen Kingie,1,2025,16/08/2025,,,,,,,,,,,
,,,,,,Sgurr Cos na Breachd-laoidh,835,2740,112,10B: Knoydart to Glen Kingie,0,,,,,,,,,,,,,
,,,,,,Sgurr Coire Choinnichean,796,2612,167,10B: Knoydart to Glen Kingie,1,2024,11/05/2024,,,,,,,,,,,
,,,,,,Beinn na Caillich,785,2575,183,10B: Knoydart to Glen Kingie,1,2024,10/05/2024,,,,,,,,,,,
,,,,,,Ben Tee,904,2966,16,10C: Loch Arkaig to Glen Moriston,1,2023,09/06/2023,,,,,,,,,,,
,,,,,,Meall na h-Eilde,837.2,2747,110,10C: Loch Arkaig to Glen Moriston,0,,,,,,,,,,,,,
,,,,,,Geal Charn,804,2638,154,10C: Loch Arkaig to Glen Moriston,0,,,,,,,,,,,,,
,,,,,,Meall Dubh,789,2589,176,10C: Loch Arkaig to Glen Moriston,0,,,,,,,,,,,,,
,,,,,,Streap,909,2982,10,10D: Mallaig to Fort William,1,2022,13/11/2022,,,,,,,,,,,
,,,,,,Bidein a' Chabair,867.5,2846,65,10D: Mallaig to Fort William,0,,,,,,,,,,,,,
,,,,,,Carn Mor,829,2720,117,10D: Mallaig to Fort William,0,,,,,,,,,,,,,
,,,,,,Sgurr an Utha,796,2612,168,10D: Mallaig to Fort William,0,,,,,,,,,,,,,
,,,,,,Beinn Bhan,795.9,2611,169,10D: Mallaig to Fort William,0,,,,,,,,,,,,,
,,,,,,Meall a' Phubuill,772.7,2535,203,10D: Mallaig to Fort William,0,,,,,,,,,,,,,
,,,,,,Braigh nan Uamhachan,765,2510,216,10D: Mallaig to Fort William,0,,,,,,,,,,,,,
,,,,,,Sgurr an Airgid,841.2,2760,102,11A: Loch Duich to Cannich,1,2024,11/02/2024,,,,,,,,,,,
,,,,,,Sgurr Gaorsaic,839,2753,107,11A: Loch Duich to Cannich,0,,,,,,,,,,,,,
,,,,,,Am Bathach,798.1,2618,161,11A: Loch Duich to Cannich,1,2023,21/07/2023,,,,,,,,,,,
,,,,,,Aonach Shasuinn,888,2913,37,11B: Glen Affric to Glen Moriston,0,,,,,,,,,,,,,
,,,,,,Carn a' Choire Ghairbh,862.5,2830,73,11B: Glen Affric to Glen Moriston,0,,,,,,,,,,,,,
,,,,,,Sgurr nan Ceannaichean,913.43,2997,3,12A: Kyle of Lochalsh to Garve,0,,,,,,,,,,,,,
,,,,,,Sgurr a' Mhuilinn,878.8,2883,54,12A: Kyle of Lochalsh to Garve,0,,,,,,,,,,,,,
,,,,,,Beinn Tharsuinn,863,2831,71,12A: Kyle of Lochalsh to Garve,1,2021,23/05/2021,,,,,,,,,,,
,,,,,,Sgurr na Feartaig,863,2831,72,12A: Kyle of Lochalsh to Garve,1,2021,25/05/2021,,,,,,,,,,,
,,,,,,Beinn a' Bhathaich Ard [Beinn a' Bha' ach Ard],862,2828,76,12A: Kyle of Lochalsh to Garve,0,,,,,,,,,,,,,
,,,,,,Bac an Eich,849,2785,92,12A: Kyle of Lochalsh to Garve,0,,,,,,,,,,,,,
,,,,,,Meallan nan Uan,838.3,2750,109,12A: Kyle of Lochalsh to Garve,0,,,,,,,,,,,,,
,,,,,,An Sithean [An Sidhean],814,2671,132,12A: Kyle of Lochalsh to Garve,0,,,,,,,,,,,,,
,,,,,,Beinn Dronaig,797,2615,163,12A: Kyle of Lochalsh to Garve,0,,,,,,,,,,,,,
,,,,,,Aonach Buidhe,899,2949,24,12B: Killilan to Inverness,0,,,,,,,,,,,,,
,,,,,,Sguman Coinntich,879,2884,53,12B: Killilan to Inverness,0,,,,,,,,,,,,,
,,,,,,Faochaig,868,2848,64,12B: Killilan to Inverness,0,,,,,,,,,,,,,
,,,,,,Sgorr na Diollaid,817.9,2683,127,12B: Killilan to Inverness,0,,,,,,,,,,,,,
,,,,,,Beinn Dearg,913.7,2998,2,13A: Loch Torridon to Loch Maree,1,2023,08/04/2023,,,,,,,,,,,
,,,,,,Ruadh-stac Beag,896,2940,28,13A: Loch Torridon to Loch Maree,1,2025,20/06/2025,,,,,,,,,,,
,,,,,,Meall a' Ghiubhais [Meall a' Ghiuthais],887,2910,39,13A: Loch Torridon to Loch Maree,1,2025,20/06/2025,,,,,,,,,,,
,,,,,,Baosbheinn,875,2871,57,13A: Loch Torridon to Loch Maree,1,2025,20/06/2025,,,,,,,,,,,
,,,,,,Beinn an Eoin,855,2805,88,13A: Loch Torridon to Loch Maree,0,,,,,,,,,,,,,
,,,,,,Fuar Tholl,907,2976,12,13B: Applecross to Achnasheen,1,2025,20/03/2025,,,,,,,,,,,
,,,,,,Beinn Damh,903,2963,18,13B: Applecross to Achnasheen,1,2025,20/03/2025,,,,,,,,,,,
,,,,,,Beinn Bhan,896,2940,29,13B: Applecross to Achnasheen,1,2023,09/12/2023,,,,,,,,,,,
,,,,,,An Ruadh-Stac,890.4,2921,33,13B: Applecross to Achnasheen,3,2023,08/12/2023,20/03/2025,18/10/2025,,,,,,,,,
,,,,,,Sgorr nan Lochan Uaine,871,2858,62,13B: Applecross to Achnasheen,1,2025,23/03/2025,,,,,,,,,,,
,,,,,,Sgurr a' Chaorachain,792,2598,172,13B: Applecross to Achnasheen,1,2025,19/10/2025,,,,,,,,,,,
,,,,,,Sgurr Dubh,782,2566,187,13B: Applecross to Achnasheen,1,2025,23/03/2025,,,,,,,,,,,
,,,,,,Beinn a' Chlaidheimh,913.96,2999,1,14A: Loch Maree to Loch Broom,3,2018,26/06/2018,28/08/2021,10/04/2025,,,,,,,,,
,,,,,,Beinn Dearg Mor,906.28,2973,15,14A: Loch Maree to Loch Broom,1,2025,10/04/2025,,,,,,,,,,,
,,,,,,Beinn Lair,859,2818,79,14A: Loch Maree to Loch Broom,0,,,,,,,,,,,,,
,,,,,,Beinn a' Chaisgein Mor,856,2808,85,14A: Loch Maree to Loch Broom,0,,,,,,,,,,,,,
,,,,,,Beinn Dearg Bheag,820,2690,124,14A: Loch Maree to Loch Broom,1,2025,10/04/2025,,,,,,,,,,,
,,,,,,Creag Rainich,807.9,2651,147,14A: Loch Maree to Loch Broom,0,,,,,,,,,,,,,
,,,,,,Beinn Airigh Charr,792,2598,173,14A: Loch Maree to Loch Broom,1,2019,27/06/2019,,,,,,,,,,,
,,,,,,Sail Mhor,767,2516,212,14A: Loch Maree to Loch Broom,0,,,,,,,,,,,,,
,,,,,,Beinn Liath Mhor a' Ghiubhais Li [Beinn Liath Mhor a' Ghiuthais],766,2513,213,14B: The Fannaichs,0,,,,,,,,,,,,,
,,,,,,Beinn Enaiglair,890,2920,34,15A: Loch Broom to Strath Oykel,0,,,,,,,,,,,,,
,,,,,,Carn Ban,843.3,2767,98,15A: Loch Broom to Strath Oykel,0,,,,,,,,,,,,,
,,,,,,Carn Chuinneag,839,2753,108,15B: Loch Vaich to Moray Firth,0,,,,,,,,,,,,,
,,,,,,Beinn a' Chaisteil,787,2582,180,15B: Loch Vaich to Moray Firth,0,,,,,,,,,,,,,
,,,,,,Little Wyvis,763,2503,221,15B: Loch Vaich to Moray Firth,0,,,,,,,,,,,,,
,,,,,,Foinaven [Foinne Bhein] - Ganu Mor,911.05,2989,8,16B: Durness to Loch Shin,2,2021,28/06/2021,29/07/2024,,,,,,,,,,
,,,,,,Ben Hee,873,2864,60,16B: Durness to Loch Shin,0,,,,,,,,,,,,,
,,,,,,Cranstackie,801,2628,157,16B: Durness to Loch Shin,0,,,,,,,,,,,,,
,,,,,,Meallan Liath Coire Mhic Dhughaill,800.8,2627,158,16B: Durness to Loch Shin,1,2024,29/07/2024,,,,,,,,,,,
,,,,,,Arkle,787,2582,181,16B: Durness to Loch Shin,1,2024,29/07/2024,,,,,,,,,,,
,,,,,,Meall Horn,777,2549,195,16B: Durness to Loch Shin,0,,,,,,,,,,,,,
,,,,,,Beinn Spionnaidh,773,2536,202,16B: Durness to Loch Shin,0,,,,,,,,,,,,,
,,,,,,Ben Loyal - An Caisteal,764.2,2507,217,16B: Durness to Loch Shin,1,2021,26/06/2021,,,,,,,,,,,
,,,,,,Breabag,815,2674,131,16E: Scourie to Lairg,0,,,,,,,,,,,,,
,,,,,,Quinag - Sail Gharbh,809,2654,143,16E: Scourie to Lairg,1,2019,30/12/2019,,,,,,,,,,,
,,,,,,Beinn Leoid,792,2598,174,16E: Scourie to Lairg,0,,,,,,,,,,,,,
,,,,,,Quinag - Sail Ghorm [Sail Gorm],776,2546,196,16E: Scourie to Lairg,1,2019,30/12/2019,,,,,,,,,,,
,,,,,,Glas Bheinn,776,2546,197,16E: Scourie to Lairg,0,,,,,,,,,,,,,
,,,,,,Quinag - Spidean Coinich,764,2507,219,16E: Scourie to Lairg,1,2019,30/12/2019,,,,,,,,,,,
,,,,,,Cul Mor,849,2785,93,16F: Lochinver to Ullapool,1,2024,29/07/2024,,,,,,,,,,,
,,,,,,Canisp,847,2779,95,16F: Lochinver to Ullapool,0,,,,,,,,,,,,,
,,,,,,Cul Beag,769.4,2524,208,16F: Lochinver to Ullapool,0,,,,,,,,,,,,,
,,,,,,Garbh-bheinn,808.3,2652,145,17B: Minginish and the Cuillin Hills,1,2025,23/05/2025,,,,,,,,,,,
,,,,,,Glamaig - Sgurr Mhairi,775,2543,198,17B: Minginish and the Cuillin Hills,2,2022,02/06/2022,03/05/2024,,,,,,,,,,
,,,,,,Askival,812,2664,137,"17D: Canna, Rhum and Eigg",1,2022,07/05/2022,,,,,,,,,,,
,,,,,,Ainshval,781,2562,188,"17D: Canna, Rhum and Eigg",1,2022,07/05/2022,,,,,,,,,,,
,,,,,,Dun da Ghaoithe,766,2513,214,17E: Mull and Nearby Islands,1,2024,19/05/2024,,,,,,,,,,,
,,,,,,Beinn Odhar Bheag,883.3,2898,45,18A: Moidart and Ardnamurchan,0,,,,,,,,,,,,,
,,,,,,Rois-Bheinn,882.4,2895,47,18A: Moidart and Ardnamurchan,2,2024,20/05/2024,17/08/2025,,,,,,,,,,
,,,,,,Sgurr na Ba Glaise,874.1,2868,59,18A: Moidart and Ardnamurchan,2,2024,20/05/2024,17/08/2025,,,,,,,,,,
,,,,,,An Stac,814,2671,133,18A: Moidart and Ardnamurchan,2,2024,20/05/2024,18/08/2025,,,,,,,,,,
,,,,,,Beinn Mhic Cedidh,783,2569,185,18A: Moidart and Ardnamurchan,0,,,,,,,,,,,,,
,,,,,,Sgurr Dhomhnuill,888.4,2915,36,18B: Sunart and Ardgour,0,,,,,,,,,,,,,
,,,,,,Garbh Bheinn,885,2904,42,18B: Sunart and Ardgour,2,2022,28/05/2022,04/05/2025,,,,,,,,,,
,,,,,,Sgurr Ghiubhsachain,849,2785,94,18B: Sunart and Ardgour,1,2025,05/05/2025,,,,,,,,,,,
,,,,,,Beinn Resipol,845,2772,97,18B: Sunart and Ardgour,1,2022,28/05/2022,,,,,,,,,,,
,,,,,,Carn na Nathrach,786,2579,182,18B: Sunart and Ardgour,0,,,,,,,,,,,,,
,,,,,,Sgorr Craobh a' Chaorainn,775,2543,199,18B: Sunart and Ardgour,1,2025,05/05/2025,,,,,,,,,,,
,,,,,,Stob Coire a' Chearcaill,771,2530,206,18B: Sunart and Ardgour,0,,,,,,,,,,,,,
,,,,,,Druim Tarsuinn [Stob a' Bhealach an Sgriodain],770,2526,207,18B: Sunart and Ardgour,0,,,,,,,,,,,,,
,,,,,,Beinn na h-Uamha,762.4,2501,222,18B: Sunart and Ardgour,0,,,,,,,,,,,,,
,,,,,,Creach Bheinn,853,2799,89,18C: Morvern and Kingairloch,0,,,,,,,,,,,,,
,,,,,,Fuar Bheinn,766,2513,215,18C: Morvern and Kingairloch,0,,,,,,,,,,,,,
,,,,,,Beinn an Lochain,901.7,2958,19,19C: Loch Fyne to Bute and the Firth of Clyde,0,,,,,,,,,,,,,
,,,,,,Ben Donich,847,2779,96,19C: Loch Fyne to Bute and the Firth of Clyde,0,,,,,,,,,,,,,
,,,,,,The Brack,787.5,2584,177,19C: Loch Fyne to Bute and the Firth of Clyde,1,2022,03/04/2022,,,,,,,,,,,
,,,,,,Beinn Bheula,779,2556,191,19C: Loch Fyne to Bute and the Firth of Clyde,0,,,,,,,,,,,,,
,,,,,,Cnoc Coinnich,763.5,2505,220,19C: Loch Fyne to Bute and the Firth of Clyde,1,2022,03/04/2022,,,,,,,,,,,
,,,,,,Beinn an Oir,785,2575,184,"20A: Jura, Scarba and Colonsay",1,2025,24/05/2025,,,,,,,,,,,
,,,,,,Goatfell [Goat Fell],875,2871,58,20C: Arran and Holy Island,1,2023,16/06/2023,,,,,,,,,,,
,,,,,,Caisteal Abhail,859,2818,80,20C: Arran and Holy Island,1,2024,20/04/2024,,,,,,,,,,,
,,,,,,Beinn Tarsuinn,826,2710,119,20C: Arran and Holy Island,1,2024,20/04/2024,,,,,,,,,,,
,,,,,,Cir Mhor,798.1,2618,162,20C: Arran and Holy Island,1,2024,20/04/2024,,,,,,,,,,,
,,,,,,Morven,872,2861,61,21A: Tomintoul to Banff,0,,,,,,,,,,,,,
,,,,,,Ben Rinnes,841,2759,103,21A: Tomintoul to Banff,0,,,,,,,,,,,,,
,,,,,,Carn Mor,804,2638,155,21A: Tomintoul to Banff,0,,,,,,,,,,,,,
,,,,,,Corryhabbie Hill,781,2562,189,21A: Tomintoul to Banff,0,,,,,,,,,,,,,
,,,,,,An Cliseam [Clisham],799,2621,159,24B: Harris and Nearby Islands,0,,,,,,,,,,,,,
,,,,,,Merrick,843,2766,99,27B: Carrick and Galloway,0,,,,,,,,,,,,,
,,,,,,Corserine,814,2671,134,27B: Carrick and Galloway,0,,,,,,,,,,,,,
,,,,,,Shalloch on Minnoch,774.2,2540,200,27B: Carrick and Galloway,0,,,,,,,,,,,,,
,,,,,,Cairnsmore of Carsphairn,797,2615,164,27C: The Glenkens to Annandale,0,,,,,,,,,,,,,
,,,,,,Broad Law,840.1,2756,105,28B: The River Tweed to the English Border,0,,,,,,,,,,,,,
,,,,,,White Coomb,821,2694,123,28B: The River Tweed to the English Border,0,,,,,,,,,,,,,
,,,,,,Hart Fell,808,2651,146,28B: The River Tweed to the English Border,0,,,,,,,,,,,,,
