Jun 1st,,,,,Target,16 hrs,,,,,1 effort =,Distance,1,,Pace,Hours at pace,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight start,3:35,,,,,,,,,,,Asc,125,,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise,4:36,,,,,,,,,,,Desc,375,,6.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Max,13:18,,,,,,,,,,,,,,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset,22:00,,,,,,,,,,,,,,7.5,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight end,23:02,,,,,,,,,,,,,,8,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight time,17:24,,,,,,,,,,,,,,8.5,12,33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9.5,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cumulative,,,,,,,,,,,,,,,Estimate,Actual,,,,,,,,,,,,,Tranter 2024,,,,,,,,,
Where,Dist,Asc,Desc,,Dist,Asc,Desc,Notes,Time at water,,Effort,Min / effort,Mins,,Hours,,Time of day,,,Mins,Mins,Diff,Cumulative,Hours,,Cumulative,Min / unit,,FW Mins,Diff,Ratio,,,Mins,Cumulative,,,Diff vs splits ,Cumulative,Min / unit,Diff FW,Ratio,FW Mins
Youth Hostel,0,,,,0,,,,,,0.00,,0.0,0.0,,,02:00,,Youth Hostel,,,,0,,,,,,0,,,,Youth Hostel,,0,,,,,,,,0
Mullach,8.20,1019.560518732,20.1008645533,,8.2,1020,20,,,,16.41,6.5,106.7,106.7,1:47,1:47,03:47,,Mullach,107,79,-28,79,1:19,,-27.67,4.81,,58,48.67,1.8,,Mullach,87,87,1,27,-20,-20,5.3,29,1.5,58
Stob Ban,3.50,286.9956772334,223.3429394813,,11.7,1307,243,,,,6.39,7.5,47.9,154.6,0:48,2:35,04:35,,Stob Ban,48,36,-12,115,0:36,,-39.60,5.63,,24,23.94,2.0,,Stob Ban,37,124,2,4,-11,-31,5.8,13,1.5,24
Sgurr a Mhaim,3.30,441.1023054755,329.4308357349,,15,1748,573,water before climb,2h35,,7.71,7.5,57.8,212.4,0:58,3:32,05:32,,Sgurr a Mhaim,58,49,-9,164,0:49,,-48.41,6.36,,30,27.80,1.9,,Sgurr a Mhaim,51,175,2,55,-7,-37,6.6,21,1.7,30
Am Bodach,3.00,264.6613832853,359.5821325648,,18,2012,932,,,,6.08,7.5,45.6,258.0,0:46,4:18,06:18,,Am Bodach,46,38,-8,202,0:38,,-55.98,6.25,,25,20.57,1.8,,Am Bodach,37,212,3,32,-9,-46,6.1,12,1.5,25
Stob Coire a Chairn,1.60,189.8414985591,247.9106628242,,19.6,2202,1180,,,,3.78,7.5,28.3,286.3,0:28,4:46,06:46,,Stob Coire a Chairn,28,25,-3,227,0:25,,-59.33,6.61,,15,13.35,1.9,,Stob Coire a Chairn,25,237,3,57,-3,-49,6.6,10,1.7,15
An Gearanach,1.20,159.6902017291,130.6556195965,,20.8,2362,1311,,,,2.83,7.5,21.2,307.5,0:21,5:08,07:08,,An Gearanach,21,24,3,251,0:24,,-56.52,8.49,,12,9.19,1.8,,An Gearanach,20,257,4,17,-1,-51,7.1,8,1.7,12
Na Gruigaichean,3.40,360.6988472622,301.5129682997,,24.2,2723,1613,water on traverse,4h40,,7.09,7.5,53.2,360.7,0:53,6:01,08:01,,Na Gruigaichean,53,46,-7,297,0:46,,-63.69,6.49,,30,23.17,1.8,,Na Gruigaichean,52,309,5,9,-1,-52,7.3,22,1.7,30
Binnein Mor,1.70,116.1383285303,121.7219020173,,25.9,2839,1734,,,,2.95,7.5,22.2,382.8,0:22,6:23,08:23,,Binnein Mor,22,24,2,321,0:24,,-61.85,8.13,,14,8.15,1.6,,Binnein Mor,25,334,5,34,3,-49,8.5,11,1.8,14
Binnein Beag,2.30,174.2074927954,303.7463976945,,28.2,3013,2038,water if needed,,,4.50,7.5,33.8,416.6,0:34,6:57,08:57,,Binnein Beag,34,34,0,355,0:34,,-61.62,7.55,,20,13.78,1.7,,Binnein Beag,36,370,6,10,2,-47,8.0,16,1.8,20
Sgurr Eilide Mor,3.50,307.0965417867,221.1095100865,,31.7,3320,2259,water before climb,6h05,,6.55,7.5,49.1,465.7,0:49,7:46,09:46,,Sgurr Eilide Mor,49,57,8,412,0:57,,-53.72,8.71,,32,17.10,1.5,,Sgurr Eilide Mor,58,428,7,8,9,-38,8.9,26,1.8,32
River,4.40,0,686.7795389049,,36.1,3320,2946,streams on descent,7h10,,6.23,7.5,46.7,512.5,0:47,8:32,10:32,,River,47,52,5,464,0:52,,-48.46,8.34,,21,25.74,2.2,,River,50,478,7,58,3,-34,8.0,29,2.4,21
Stob Ban 2,4.10,654.3948126801,23.4510086455,,40.2,3974,2969,streams on ascent,"7h30, 7h45",,9.40,7.5,70.5,582.9,1:10,9:43,11:43,,Stob Ban 2,70,73,3,537,1:13,,-45.94,7.77,,44,26.48,1.6,,Stob Ban 2,71,549,9,9,1,-34,7.6,27,1.6,44
Stob Choire Claurigh,2.30,386.3832853026,138.4726224784,,42.5,4361,3108,water from lochan at bealach,8h30,,5.76,8.0,46.1,629.0,0:46,10:29,12:29,,Stob Choire Claurigh,46,49,3,586,0:49,,-43.02,8.51,,24,22.08,1.9,,Stob Choire Claurigh,41,590,9,50,-5,-39,7.1,17,1.7,24
Stob Coire An Laoigh,3.00,173.090778098,241.2103746398,,45.5,4534,3349,,,,5.03,8.0,40.2,669.2,0:40,11:09,13:09,,Stob Coire An Laoigh,40,37,-3,623,0:37,,-46.25,7.36,,21,19.22,1.9,,Stob Coire An Laoigh,35,625,10,25,-5,-44,7.0,14,1.7,21
Sgurr Choinnich Mor,2.10,178.674351585,196.5417867435,,47.6,4713,3546,water on shortcut,9h35,,4.05,8.0,32.4,701.7,0:32,11:42,13:42,,Sgurr Choinnich Mor,32,37,5,660,0:37,,-41.67,9.13,,19,13.43,1.7,,Sgurr Choinnich Mor,39,664,11,4,7,-38,9.6,20,2.1,19
Aonach Beag,4.40,580.6916426513,423.234870317,,52,5293,3969,maybe water?,,,10.17,8.0,81.4,783.1,1:21,13:03,15:03,,Aonach Beag,81,75,-6,735,1:15,,-48.07,7.37,,42,39.39,1.9,,Aonach Beag,70,734,12,14,-11,-49,6.9,28,1.7,42
Aonach Mor,1.80,160.8069164265,156.3400576369,,53.8,5454,4125,,,,3.50,8.0,28.0,811.1,0:28,13:31,15:31,,Aonach Mor,28,36,8,771,0:36,,-40.09,10.28,,14,14.03,2.0,,Aonach Mor,22,756,12,36,-6,-55,6.3,8,1.6,14
Carn Mor Dearg,2.70,410.9510086455,423.234870317,,56.5,5865,4548,water on descent,11h40,,7.12,8.0,56.9,868.0,0:57,14:28,16:28,,Carn Mor Dearg,57,57,0,828,0:57,,-40.02,8.01,,32,24.93,1.8,,Carn Mor Dearg,60,816,13,36,3,-52,8.4,28,1.9,32
Ben Nevis,2.30,335.0144092219,168.6239193084,,58.8,6200,4717,,,,5.43,8.0,43.4,911.5,0:43,15:11,17:11,,Ben Nevis,43,67,24,895,1:07,,-16.46,12.34,,29,14.44,1.5,,Ben Nevis,50,866,14,26,7,-45,9.2,21,1.7,29
Youth Hostel,6.20,0,1482.9971181556,,65,6200,6200,water if desperate,,,10.15,8.0,81.2,992.7,1:21,16:33,18:33,,Youth Hostel,81,99,18,994,1:39,,1.30,9.75,,34,47.24,2.4,,Youth Hostel,67,933,15,33,-14,-60,6.6,33,2.0,34
,65,6200,6200,,,,,,,,131.13,,992.7,,16:32,,,,,,,1.30,,,,,,,540.00,452.70,1.8,,,,,,,,,,,,540
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,distances are updated from tranters 24 actual recording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Calories,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hours,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per hour,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weight,Cal,Num,Total Weight,Total Cal,,Cal/g,£,£/250cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature Valley Salt,30,139,10,300,1390,,4.6,0.39,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature Valley Protein,40,198,0,0,0,,5.0,0.44,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haribo,100,349,3.5,350,1221.5,,3.5,0.71,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate,100,500,0,0,0,,5.0,1.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gels,25,87,8,200,696,,3.5,1.27,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coated Nuts,100,593,3,300,1779,,5.9,0.50,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clif,68,255,0,0,0,,3.8,1.50,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoats,27,96,0,0,0,,3.6,0.47,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tailwind,26,100,0,0,0,,3.8,0.72,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bites,548,2484,0,0,0,,4.5,3.11,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1150,5086.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,18,,1019.560518732,20.1008645533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,218,,1306.5561959654,243.4438040346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,513,,1747.6585014409,572.8746397695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,835,,2012.3198847262,932.4567723343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,1057,,2202.1613832853,1180.3674351585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,1174,,2361.8515850144,1311.0230547551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,1444,,2722.5504322767,1612.5360230548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,1553,,2838.6887608069,1734.2579250721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,1825,,3012.8962536023,2038.0043227666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,2023,,3319.9927953891,2259.113832853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,2638,,3319.9927953891,2945.8933717579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3559,2659,,3974.3876080692,2969.3443804035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3905,2783,,4360.7708933718,3107.8170028819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060,2999,,4533.8616714697,3349.0273775216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220,3175,,4712.5360230548,3545.5691642651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740,3554,,5293.2276657061,3968.8040345821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4884,3694,,5454.0345821326,4125.144092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5252,4073,,5864.9855907781,4548.378962536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5552,4224,,6200,4717.0028818444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5552,5552,,6200,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
